"Time","odm_std_08","postgres"
2024-06-18 02:00:33,54.5 GB,220 MB
2024-06-18 14:00:34,54.5 GB,220 MB
2024-06-19 02:00:31,170 GB,367 MB
2024-06-19 14:00:38,535 GB,516 MB
2024-06-20 02:00:34,,516 MB
2024-06-20 14:00:32,,518 MB
2024-06-21 02:00:31,,518 MB
2024-06-21 14:00:34,,519 MB
2024-06-22 02:00:32,,519 MB
2024-06-22 14:00:33,,519 MB
2024-06-23 02:00:33,,519 MB
2024-06-23 14:00:31,,519 MB
2024-06-24 02:00:31,,520 MB
2024-06-24 14:00:32,,520 MB
2024-06-25 02:00:32,,520 MB
2024-06-25 14:00:34,,520 MB
2024-06-26 02:00:32,,520 MB
2024-06-26 14:00:32,,520 MB
2024-06-27 02:00:32,,520 MB
2024-06-27 10:16:03,,520 MB
2024-06-27 16:54:33,,520 MB
2024-06-28 02:01:04,,520 MB
2024-06-28 14:00:47,,520 MB
2024-06-29 02:00:44,,521 MB
2024-06-29 14:00:45,,215 MB
2024-06-30 02:00:39,,215 MB
2024-06-30 14:00:44,,215 MB
2024-07-01 02:00:42,,215 MB
2024-07-01 14:00:44,,215 MB
2024-07-02 02:00:42,626 GB,216 MB
2024-07-02 14:00:46,,245 MB
2024-07-03 02:00:43,,245 MB
2024-07-03 14:00:34,,246 MB
2024-07-04 02:00:34,,246 MB
2024-07-04 14:00:47,,245 MB
2024-07-05 02:00:44,,246 MB
2024-07-05 14:00:47,,246 MB
2024-07-06 02:00:42,,246 MB
2024-07-06 14:01:02,,247 MB
2024-07-07 02:00:45,,247 MB
2024-07-07 14:01:18,,248 MB
2024-07-08 02:00:45,,248 MB
2024-07-08 14:00:45,626 GB,248 MB
2024-07-09 02:00:46,170 GB,248 MB
2024-07-09 14:01:24,510 GB,257 MB
2024-07-10 02:01:11,813 GB,257 MB
2024-07-10 14:00:47,905 GB,262 MB
2024-07-11 02:00:47,931 GB,262 MB
2024-07-11 14:00:53,957 GB,266 MB
2024-07-12 02:00:48,963 GB,266 MB
2024-07-12 14:00:51,972 GB,270 MB
2024-07-13 02:00:49,980 GB,270 MB
2024-07-13 14:01:00,985 GB,271 MB
2024-07-14 02:00:50,996 GB,271 MB
2024-07-14 14:00:51,999 GB,275 MB
2024-07-15 02:00:50,1.00 TB,275 MB
2024-07-15 14:00:53,1.01 TB,278 MB
2024-07-16 02:00:51,1.01 TB,278 MB
2024-07-16 14:01:00,1.02 TB,287 MB
2024-07-17 02:01:14,1.02 TB,287 MB
2024-07-17 14:01:03,1.03 TB,268 MB
2024-07-18 02:01:00,1.03 TB,269 MB
2024-07-18 14:01:07,1.03 TB,269 MB
2024-07-19 02:01:04,1.04 TB,269 MB
2024-07-19 14:01:19,1.04 TB,269 MB
2024-07-20 02:01:04,1.05 TB,269 MB
2024-07-20 14:01:22,1.09 TB,271 MB
2024-07-21 02:01:04,1.10 TB,271 MB
2024-07-21 14:01:30,1.10 TB,271 MB
2024-07-22 02:01:01,1.12 TB,271 MB
2024-07-22 14:01:09,1.13 TB,271 MB
2024-07-23 02:01:04,1.17 TB,271 MB
2024-07-23 14:01:07,1.17 TB,285 MB
2024-07-24 02:01:05,1.18 TB,285 MB
2024-07-24 14:01:08,1.19 TB,285 MB
2024-07-25 02:01:08,1.20 TB,285 MB
2024-07-25 14:01:04,1.20 TB,284 MB
2024-07-26 02:01:04,1.21 TB,284 MB
2024-07-26 14:01:05,1.21 TB,284 MB
2024-07-27 02:01:04,1.22 TB,284 MB
2024-07-27 14:01:41,1.23 TB,288 MB
2024-07-28 02:01:03,1.24 TB,288 MB
2024-07-28 14:01:19,1.24 TB,288 MB
2024-07-29 02:01:04,1.25 TB,288 MB
2024-07-29 14:01:15,1.26 TB,288 MB
2024-07-29 16:32:32,207 GB,288 MB
2024-07-30 02:01:06,354 GB,288 MB
2024-07-30 14:01:25,638 GB,290 MB
2024-07-31 02:01:09,1.07 TB,291 MB
2024-07-31 14:01:11,1.28 TB,295 MB
2024-08-01 02:01:06,1.30 TB,295 MB
2024-08-01 14:01:21,1.31 TB,295 MB
2024-08-02 02:01:07,1.31 TB,295 MB
2024-08-02 14:01:17,1.32 TB,295 MB
2024-08-03 02:01:03,1.33 TB,295 MB
2024-08-03 14:01:28,1.34 TB,295 MB
2024-08-04 02:01:06,1.35 TB,296 MB
2024-08-04 14:01:28,1.35 TB,290 MB
2024-08-05 02:01:07,1.37 TB,290 MB
2024-08-05 14:01:12,1.37 TB,290 MB
2024-08-06 02:01:05,1.38 TB,290 MB
2024-08-06 14:01:08,1.39 TB,290 MB
2024-08-07 02:01:04,1.39 TB,291 MB
2024-08-07 14:01:42,1.40 TB,291 MB
2024-08-08 02:01:02,1.40 TB,291 MB
2024-08-08 14:01:25,1.41 TB,291 MB
2024-08-09 02:01:03,1.41 TB,291 MB
2024-08-09 14:01:13,1.41 TB,270 MB
2024-08-10 02:01:07,1.44 TB,270 MB
2024-08-10 14:01:22,1.50 TB,271 MB
2024-08-11 02:00:59,1.50 TB,271 MB
2024-08-11 14:01:09,1.50 TB,271 MB
2024-08-12 02:01:05,1.51 TB,271 MB
2024-08-12 14:01:16,1.51 TB,271 MB
2024-08-13 02:01:14,1.51 TB,271 MB
2024-08-13 14:01:16,1.52 TB,271 MB
2024-08-14 02:01:08,1.52 TB,271 MB
2024-08-14 14:01:11,1.53 TB,266 MB
2024-08-15 02:01:13,1.53 TB,266 MB
2024-08-15 14:01:11,1.54 TB,266 MB
2024-08-16 02:01:09,1.54 TB,266 MB
2024-08-16 14:01:12,1.54 TB,267 MB
2024-08-17 02:01:10,1.55 TB,267 MB
2024-08-17 14:01:12,1.55 TB,267 MB
2024-08-18 02:01:13,1.56 TB,268 MB
2024-08-18 14:01:16,1.56 TB,268 MB
2024-08-19 02:01:13,1.57 TB,268 MB
2024-08-19 14:01:16,1.57 TB,268 MB
2024-08-20 02:01:12,1.57 TB,268 MB
2024-08-20 14:01:18,1.58 TB,268 MB
2024-08-21 02:01:13,1.58 TB,268 MB
2024-08-21 14:01:23,1.59 TB,269 MB
2024-08-22 02:01:14,1.59 TB,269 MB
2024-08-22 14:01:26,1.60 TB,269 MB
2024-08-23 02:01:16,1.60 TB,269 MB
2024-08-23 14:01:22,1.61 TB,269 MB
2024-08-24 02:01:14,1.61 TB,269 MB
2024-08-24 14:01:18,1.61 TB,277 MB
2024-08-25 02:01:15,1.62 TB,277 MB
2024-08-25 14:01:21,1.62 TB,286 MB
2024-08-26 02:01:15,1.62 TB,286 MB
2024-08-26 14:01:20,1.62 TB,296 MB
2024-08-27 02:01:16,1.63 TB,296 MB
2024-08-27 14:01:38,1.63 TB,306 MB
2024-08-28 02:01:16,1.63 TB,306 MB
2024-08-28 14:01:33,1.64 TB,314 MB
2024-08-29 02:01:17,1.65 TB,314 MB
2024-08-29 14:01:27,1.66 TB,323 MB
2024-08-30 02:01:15,1.71 TB,323 MB
2024-08-30 14:01:44,1.74 TB,334 MB
2024-08-31 02:01:16,1.76 TB,334 MB
2024-08-31 14:01:13,1.78 TB,344 MB
2024-09-01 02:01:13,1.79 TB,344 MB
2024-09-01 14:01:38,1.79 TB,344 MB
2024-09-02 02:01:09,1.80 TB,344 MB
2024-09-02 14:01:23,1.80 TB,344 MB
2024-09-03 02:01:09,1.81 TB,344 MB
2024-09-03 14:01:25,1.82 TB,346 MB
2024-09-04 02:01:11,1.83 TB,346 MB
2024-09-04 14:01:14,1.85 TB,349 MB
2024-09-05 02:01:10,1.87 TB,350 MB
2024-09-05 14:01:19,1.89 TB,352 MB
2024-09-06 02:01:08,1.90 TB,352 MB
2024-09-06 14:01:12,1.92 TB,353 MB
2024-09-07 02:01:10,1.94 TB,353 MB
2024-09-07 14:01:30,1.95 TB,353 MB
2024-09-08 02:01:14,1.97 TB,353 MB
2024-09-08 14:01:40,1.98 TB,343 MB
2024-09-09 02:01:26,1.99 TB,344 MB
2024-09-09 14:01:38,2.00 TB,344 MB
2024-09-10 02:01:22,2.01 TB,344 MB
2024-09-10 14:01:27,2.01 TB,358 MB
2024-09-11 02:01:26,2.02 TB,358 MB
2024-09-11 14:01:30,2.03 TB,373 MB
2024-09-12 02:01:21,2.03 TB,373 MB
2024-09-12 13:01:27,686 GB,377 MB
2024-09-13 02:01:27,1.16 TB,377 MB
2024-09-13 12:24:55,1.39 TB,387 MB
2024-09-13 14:01:25,1.40 TB,387 MB
2024-09-14 02:01:22,1.40 TB,387 MB
2024-09-14 14:01:31,1.41 TB,384 MB
2024-09-15 02:01:23,1.41 TB,384 MB
2024-09-15 14:01:27,1.42 TB,384 MB
2024-09-16 02:01:22,1.44 TB,384 MB

