created_at,count,05_db,
2023-05-23 15:20:25,2210,"2,21",TB
2023-05-24 14:01:01,2210,"2,21",TB
2023-05-25 14:01:05,"91,5","91,5",GB
2023-05-26 14:01:06,"91,5","91,5",GB
2023-05-27 14:01:01,"91,7","91,7",GB
2023-05-28 14:01:12,"93,2","93,2",GB
2023-05-29 14:01:33,"93,3","93,3",GB
2023-05-30 14:01:25,"93,5","93,5",GB
2023-05-31 14:01:28,"94,2","94,2",GB
2023-06-01 14:01:20,"94,3","94,3",GB
2023-06-02 14:01:19,187,187,GB
2023-06-03 14:01:16,317,317,GB
2023-06-04 14:01:21,344,344,GB
2023-06-05 14:01:21,349,349,GB
2023-06-06 14:01:20,349,349,GB
2023-06-07 14:01:20,408,408,GB
2023-06-08 14:01:25,426,426,GB
2023-06-09 14:01:23,467,467,GB
2023-06-10 14:01:18,105,105,GB
2023-06-11 14:01:16,147,147,GB
2023-06-12 14:01:16,161,161,GB
2023-06-13 14:01:28,105,105,GB
2023-06-14 14:01:27,105,105,GB
2023-06-15 14:01:24,158,158,GB
2023-06-16 14:01:24,160,160,GB
2023-06-17 14:01:23,141,141,GB
2023-06-18 14:01:24,177,177,GB
2023-06-19 14:01:24,1090,"1,09",TB
2023-06-20 14:01:36,1530,"1,53",TB
2023-06-21 14:01:22,1840,"1,84",TB
2023-06-22 14:01:23,2120,"2,12",TB
2023-06-23 14:01:25,2230,"2,23",TB
2023-06-24 14:01:26,2240,"2,24",TB
2023-06-25 14:01:09,2240,"2,24",TB
2023-06-26 14:01:11,2240,"2,24",TB
2023-06-27 14:01:14,191,191,GB
2023-06-28 14:01:10,106,106,GB
2023-06-29 14:01:11,106,106,GB
2023-06-30 14:01:10,118,118,GB
2023-07-01 14:01:06,123,123,GB
2023-07-02 14:01:10,123,123,GB
2023-07-03 14:01:14,125,125,GB
2023-07-04 14:01:10,124,124,GB
2023-07-05 14:01:14,124,124,GB
2023-07-06 14:01:13,184,184,GB
2023-07-07 14:01:13,245,245,GB
2023-07-08 14:01:13,293,293,GB
2023-07-09 14:01:15,309,309,GB
2023-07-10 14:01:11,310,310,GB
2023-07-11 14:01:17,310,310,GB
2023-07-12 14:01:10,371,371,GB
2023-07-13 14:01:11,"99,7","99,7",GB
2023-07-14 14:01:10,160,160,GB
2023-07-15 14:01:13,165,165,GB
2023-07-16 14:01:12,1110,"1,11",TB
2023-07-17 14:01:18,1470,"1,47",TB
2023-07-18 14:01:32,1820,"1,82",TB
2023-07-19 14:01:12,2150,"2,15",TB
2023-07-20 14:01:20,2250,"2,25",TB
2023-07-21 14:01:17,2250,"2,25",TB
2023-07-22 14:01:14,205,205,GB
2023-07-23 14:01:13,144,144,GB
2023-07-24 14:01:19,144,144,GB
2023-07-25 14:01:04,143,143,GB
2023-07-26 14:01:03,143,143,GB
2023-07-27 14:01:10,144,144,GB
